matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/1138_bus.mtx,sequential (CSB),,,,0.024
matrix_mkt/494_bus.mtx,sequential (CSB),,,,0.011
matrix_mkt/bcspwr06.mtx,sequential (CSB),,,,0.031
matrix_mkt/bcspwr08.mtx,sequential (CSB),,,,0.035
matrix_mkt/bcspwr10.mtx,sequential (CSB),,,,0.150
matrix_mkt/1138_bus.mtx,parallel (CSB),64,static,0,11.205
matrix_mkt/1138_bus.mtx,parallel (CSB),64,static,1,1.623
matrix_mkt/1138_bus.mtx,parallel (CSB),64,static,10,0.431
matrix_mkt/1138_bus.mtx,parallel (CSB),64,static,50,4.636
matrix_mkt/1138_bus.mtx,parallel (CSB),64,static,100,3.722
matrix_mkt/1138_bus.mtx,parallel (CSB),32,static,0,0.119
matrix_mkt/1138_bus.mtx,parallel (CSB),32,static,1,0.107
matrix_mkt/1138_bus.mtx,parallel (CSB),32,static,10,0.111
matrix_mkt/1138_bus.mtx,parallel (CSB),32,static,50,0.161
matrix_mkt/1138_bus.mtx,parallel (CSB),32,static,100,0.103
matrix_mkt/1138_bus.mtx,parallel (CSB),16,static,0,0.072
matrix_mkt/1138_bus.mtx,parallel (CSB),16,static,1,0.067
matrix_mkt/1138_bus.mtx,parallel (CSB),16,static,10,0.064
matrix_mkt/1138_bus.mtx,parallel (CSB),16,static,50,0.068
matrix_mkt/1138_bus.mtx,parallel (CSB),16,static,100,0.072
matrix_mkt/1138_bus.mtx,parallel (CSB),4,static,0,0.057
matrix_mkt/1138_bus.mtx,parallel (CSB),4,static,1,0.061
matrix_mkt/1138_bus.mtx,parallel (CSB),4,static,10,0.058
matrix_mkt/1138_bus.mtx,parallel (CSB),4,static,50,0.056
matrix_mkt/1138_bus.mtx,parallel (CSB),4,static,100,0.052
matrix_mkt/1138_bus.mtx,parallel (CSB),64,dynamic,0,20.355
matrix_mkt/1138_bus.mtx,parallel (CSB),64,dynamic,1,20.003
matrix_mkt/1138_bus.mtx,parallel (CSB),64,dynamic,10,17.173
matrix_mkt/1138_bus.mtx,parallel (CSB),64,dynamic,50,20.056
matrix_mkt/1138_bus.mtx,parallel (CSB),64,dynamic,100,9.805
matrix_mkt/1138_bus.mtx,parallel (CSB),32,dynamic,0,0.120
matrix_mkt/1138_bus.mtx,parallel (CSB),32,dynamic,1,0.123
matrix_mkt/1138_bus.mtx,parallel (CSB),32,dynamic,10,0.114
matrix_mkt/1138_bus.mtx,parallel (CSB),32,dynamic,50,0.120
matrix_mkt/1138_bus.mtx,parallel (CSB),32,dynamic,100,0.114
matrix_mkt/1138_bus.mtx,parallel (CSB),16,dynamic,0,0.124
matrix_mkt/1138_bus.mtx,parallel (CSB),16,dynamic,1,0.080
matrix_mkt/1138_bus.mtx,parallel (CSB),16,dynamic,10,0.069
matrix_mkt/1138_bus.mtx,parallel (CSB),16,dynamic,50,0.066
matrix_mkt/1138_bus.mtx,parallel (CSB),16,dynamic,100,0.066
matrix_mkt/1138_bus.mtx,parallel (CSB),4,dynamic,0,0.076
matrix_mkt/1138_bus.mtx,parallel (CSB),4,dynamic,1,0.059
matrix_mkt/1138_bus.mtx,parallel (CSB),4,dynamic,10,0.058
matrix_mkt/1138_bus.mtx,parallel (CSB),4,dynamic,50,0.055
