matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/1138_bus.mtx,SEQ,1,none,0,0.016
matrix_mkt/494_bus.mtx,SEQ,1,none,0,0.006
matrix_mkt/bcspwr06.mtx,SEQ,1,none,0,0.020
matrix_mkt/bcspwr08.mtx,SEQ,1,none,0,0.023
matrix_mkt/bcspwr10.mtx,SEQ,1,none,0,0.086
matrix_mkt/1138_bus.mtx,PAR,64,static,0,0.060
matrix_mkt/1138_bus.mtx,PAR,64,static,1,0.090
matrix_mkt/1138_bus.mtx,PAR,64,static,10,0.056
matrix_mkt/1138_bus.mtx,PAR,64,static,50,0.052
matrix_mkt/1138_bus.mtx,PAR,64,static,100,0.051
matrix_mkt/1138_bus.mtx,PAR,32,static,0,0.028
matrix_mkt/1138_bus.mtx,PAR,32,static,1,0.053
matrix_mkt/1138_bus.mtx,PAR,32,static,10,0.033
matrix_mkt/1138_bus.mtx,PAR,32,static,50,0.029
matrix_mkt/1138_bus.mtx,PAR,32,static,100,0.029
matrix_mkt/1138_bus.mtx,PAR,16,static,0,0.018
matrix_mkt/1138_bus.mtx,PAR,16,static,1,0.052
matrix_mkt/1138_bus.mtx,PAR,16,static,10,0.029
matrix_mkt/1138_bus.mtx,PAR,16,static,50,0.022
matrix_mkt/1138_bus.mtx,PAR,16,static,100,0.023
matrix_mkt/1138_bus.mtx,PAR,4,static,0,0.015
matrix_mkt/1138_bus.mtx,PAR,4,static,1,0.035
matrix_mkt/1138_bus.mtx,PAR,4,static,10,0.025
matrix_mkt/1138_bus.mtx,PAR,4,static,50,0.017
matrix_mkt/1138_bus.mtx,PAR,4,static,100,0.018
matrix_mkt/1138_bus.mtx,PAR,64,dynamic,0,0.155
matrix_mkt/1138_bus.mtx,PAR,64,dynamic,1,0.136
matrix_mkt/1138_bus.mtx,PAR,64,dynamic,10,0.060
matrix_mkt/1138_bus.mtx,PAR,64,dynamic,50,0.053
matrix_mkt/1138_bus.mtx,PAR,64,dynamic,100,0.051
matrix_mkt/1138_bus.mtx,PAR,32,dynamic,0,0.125
matrix_mkt/1138_bus.mtx,PAR,32,dynamic,1,0.124
matrix_mkt/1138_bus.mtx,PAR,32,dynamic,10,0.038
matrix_mkt/1138_bus.mtx,PAR,32,dynamic,50,0.028
matrix_mkt/1138_bus.mtx,PAR,32,dynamic,100,0.029
matrix_mkt/1138_bus.mtx,PAR,16,dynamic,0,0.145
matrix_mkt/1138_bus.mtx,PAR,16,dynamic,1,0.121
matrix_mkt/1138_bus.mtx,PAR,16,dynamic,10,0.034
matrix_mkt/1138_bus.mtx,PAR,16,dynamic,50,0.022
matrix_mkt/1138_bus.mtx,PAR,16,dynamic,100,0.020
matrix_mkt/1138_bus.mtx,PAR,4,dynamic,0,0.183
matrix_mkt/1138_bus.mtx,PAR,4,dynamic,1,0.223
matrix_mkt/1138_bus.mtx,PAR,4,dynamic,10,0.036
matrix_mkt/1138_bus.mtx,PAR,4,dynamic,50,0.022
matrix_mkt/1138_bus.mtx,PAR,4,dynamic,100,0.016
matrix_mkt/1138_bus.mtx,PAR,64,guided,0,0.207
matrix_mkt/1138_bus.mtx,PAR,64,guided,1,0.161
matrix_mkt/1138_bus.mtx,PAR,64,guided,10,0.092
matrix_mkt/1138_bus.mtx,PAR,64,guided,50,0.067
matrix_mkt/1138_bus.mtx,PAR,64,guided,100,0.058
matrix_mkt/1138_bus.mtx,PAR,32,guided,0,0.077
matrix_mkt/1138_bus.mtx,PAR,32,guided,1,0.072
matrix_mkt/1138_bus.mtx,PAR,32,guided,10,0.053
matrix_mkt/1138_bus.mtx,PAR,32,guided,50,0.039
matrix_mkt/1138_bus.mtx,PAR,32,guided,100,0.032
matrix_mkt/1138_bus.mtx,PAR,16,guided,0,0.042
matrix_mkt/1138_bus.mtx,PAR,16,guided,1,0.041
matrix_mkt/1138_bus.mtx,PAR,16,guided,10,0.032
matrix_mkt/1138_bus.mtx,PAR,16,guided,50,0.026
matrix_mkt/1138_bus.mtx,PAR,16,guided,100,0.021
matrix_mkt/1138_bus.mtx,PAR,4,guided,0,0.018
matrix_mkt/1138_bus.mtx,PAR,4,guided,1,0.018
matrix_mkt/1138_bus.mtx,PAR,4,guided,10,0.019
